UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,date
DAY,1698969600,40.4234108030968,40.4234108030968,38.2389461267915,39.5938912899243,2023-11-03
DAY,1699056000,39.5938912899243,42.8149685815044,39.174045016557,42.5621195195927,2023-11-04
DAY,1699142400,42.5621195195927,42.9938245089964,40.4758110396869,41.3113039371161,2023-11-05
DAY,1699228800,41.3113039371161,42.2847229245531,39.8505466355649,42.2667009201124,2023-11-06
DAY,1699315200,42.2667009201124,44.5955656578499,40.3599756992308,43.0203534005122,2023-11-07
DAY,1699401600,43.0203534005122,43.8791348694871,42.3611100985945,43.1890066827607,2023-11-08
DAY,1699488000,43.1890066827607,48.8780690449359,42.5888958167758,45.423065319028,2023-11-09
DAY,1699574400,45.423065319028,57.5172086365447,45.2378642414224,56.7952094306929,2023-11-10
DAY,1699660800,56.7952094306929,64.1300794790631,53.9598386967008,56.4959002621243,2023-11-11
DAY,1699747200,56.4959002621243,62.0240721539789,55.0125124356854,56.5848596976946,2023-11-12
DAY,1699833600,56.5848596976946,59.9039494541073,51.7736801732644,51.7736801732644,2023-11-13
DAY,1699920000,51.7736801732644,58.0673869843557,51.7736801732644,56.9859624992982,2023-11-14
DAY,1700006400,56.9859624992982,67.1251554020385,56.3208411490712,65.644820123654,2023-11-15
DAY,1700092800,65.644820123654,66.0971119381869,56.6388665327117,57.8921492307219,2023-11-16
DAY,1700179200,57.8921492307219,60.6149484333307,54.2228563301277,58.6097509052666,2023-11-17
DAY,1700265600,58.6097509052666,59.3891516562534,54.8966370666876,58.6453564589838,2023-11-18
DAY,1700352000,58.6453564589838,62.1156386446464,56.7956065375082,61.1979227744908,2023-11-19
DAY,1700438400,61.1979227744908,61.3272015038771,56.3543467964361,56.6856764729941,2023-11-20
DAY,1700524800,56.6856764729941,57.4778295831427,51.57978759768,51.8144121544003,2023-11-21
DAY,1700611200,51.8144121544003,58.8414453511205,51.7097862983322,57.6287077299255,2023-11-22
DAY,1700697600,57.6287077299255,59.5639855878914,56.2312416948197,56.5413539969381,2023-11-23
DAY,1700784000,56.5413539969381,58.7463540299363,56.3183970095237,56.9383833900231,2023-11-24
DAY,1700870400,56.9383833900231,59.8360334904088,56.0370597842725,58.8796263368136,2023-11-25
DAY,1700956800,58.8796263368136,59.0755947066684,56.4405729950146,57.6433469172055,2023-11-26
DAY,1701043200,57.6433469172055,58.089008308983,53.6962995613682,55.1415848141584,2023-11-27
DAY,1701129600,55.1415848141584,58.7045135534033,54.0498252853887,58.2644668966295,2023-11-28
DAY,1701216000,58.2644668966295,61.7480518369849,57.8506958051185,59.3792669664372,2023-11-29
DAY,1701302400,59.3792669664372,61.679002785897,58.9037743951534,59.3313213758387,2023-11-30
DAY,1701388800,59.3313213758387,61.8981766148488,58.7226855028678,59.8376804628688,2023-12-01
DAY,1701475200,59.8376804628688,63.9340230431296,59.7606301079459,63.7612209744688,2023-12-02
